,product_id,quantity
38273,6615,262
38269,4793,262
38263,49605,261
38265,38996,261
38266,34024,261
38264,7035,261
38261,31720,260
38262,10369,260
38252,39657,259
38255,25837,259
38259,22260,259
38256,19125,259
38258,17807,259
38253,8025,259
38260,6532,259
38254,5991,259
38251,3798,259
38257,2611,259
38244,46900,258
38250,46650,258
38247,33493,258
38245,16290,258
38248,12312,258
38249,3397,258
38246,1117,258
38241,46226,257
38240,37825,257
38242,11123,257
38243,781,257
38238,38028,256
38235,29223,256
38236,10814,256
38239,3843,256
38237,1695,256
38232,25005,255
38234,15399,255
38233,10603,255
38227,47492,254
38229,36107,254
38228,32360,254
38230,24010,254
38231,21009,254
38220,25272,253
38219,24535,253
38224,24097,253
38225,19468,253
38223,13409,253
38226,9421,253
38221,8153,253
38222,4796,253
38218,2846,253
38216,39097,252
38217,33716,252
38215,27020,252
38214,6287,252
38213,12078,251
38212,45570,250
38211,33290,250
38210,7156,250
38209,36076,249
38208,23801,249
38206,19863,249
38207,12745,249
38201,38274,248
38200,35752,248
38204,23765,248
38203,13944,248
38202,10831,248
38205,8204,248
38198,47652,247
38196,43409,247
38199,22142,247
38197,13988,247
38195,39921,246
38194,30183,246
38193,18434,246
38192,8467,246
38187,38544,245
38189,21614,245
38190,16249,245
38191,11352,245
38188,5451,245
38186,34551,244
38185,1360,244
38178,41593,243
38182,37718,243
38181,23044,243
38184,19156,243
38180,7806,243
38179,3339,243
38183,34,243
38176,48812,242
38177,6740,242
38175,45613,240
38173,45013,239
38171,31663,239
38172,25985,239
38174,25952,239
38165,47229,238
38170,38656,238
38168,36127,238
38166,32156,238
38169,27985,238
38164,24082,238
38167,8710,238
38160,44548,237
38163,33351,237
38159,33147,237
38162,33065,237
38161,18352,237
38153,43967,236
38158,35199,236
38157,29941,236
38156,28836,236
38155,8736,236
38154,7916,236
38152,43735,235
38150,40354,235
38149,32139,235
38148,26201,235
38151,26096,235
38146,41276,234
38140,38185,234
38143,29898,234
38145,29615,234
38144,22089,234
38142,18564,234
38141,14332,234
38147,13780,234
38137,39121,233
38135,24850,233
38138,14467,233
38134,11782,233
38133,8555,233
38139,4462,233
38136,1516,233
38130,47966,232
38132,23888,232
38131,22556,232
38128,12481,232
38129,10151,232
38127,9390,232
38125,47890,231
38126,46990,231
38122,46206,231
38123,39041,231
38124,5438,231
38121,45840,230
38119,31564,230
38118,22559,230
38117,19604,230
38120,14536,230
38116,42731,229
38115,31338,229
38114,10895,229
38112,47900,228
38113,12817,228
38111,11365,228
38107,44245,227
38108,31927,227
38110,29594,227
38109,12572,227
38105,49098,226
38102,33636,226
38104,30290,226
38103,19734,226
38106,5097,226
38097,44471,225
38096,41690,225
38100,30021,225
38101,27196,225
38095,14267,225
38099,13702,225
38098,12545,225
38090,46088,224
38094,39430,224
38088,32578,224
38092,30480,224
38091,20583,224
38086,11136,224
38087,10613,224
38093,7862,224
38089,5067,224
38084,26856,223
38085,10473,223
38083,35168,222
38081,28597,222
38082,27925,222
38079,22828,221
38078,19049,221
38080,12427,221
38074,45633,220
38073,42475,220
38077,38374,220
38075,23296,220
38076,21077,220
38067,43183,219
38068,32030,219
38071,22952,219
38069,17284,219
38072,1217,219
38070,248,219
38062,37229,218
38063,33651,218
38066,23322,218
38065,9550,218
38064,8022,218
38061,21927,217
38060,3020,217
38055,44292,216
38057,43279,216
38054,39024,216
38052,37250,216
38058,34590,216
38056,25256,216
38059,15649,216
38053,7600,216
38048,33279,215
38051,27179,215
38049,18418,215
38050,18337,215
38046,46941,214
38045,20899,214
38044,12797,214
38047,7746,214
38043,5750,214
38034,48094,213
38035,43262,213
38040,32740,213
38039,19894,213
38042,18023,213
38037,17615,213
38041,13500,213
38036,4163,213
38038,436,213
38033,49236,212
38031,47993,212
38030,22882,212
38032,15541,212
38029,4781,212
38020,48720,211
38019,48057,211
38022,45106,211
38024,39216,211
38021,35989,211
38025,33647,211
38028,27012,211
38027,20561,211
38026,10761,211
38023,6347,211
38018,12732,210
38017,21955,209
38016,15386,209
38014,13536,209
38015,12779,209
38013,9018,209
38011,45364,208
38008,26047,208
38012,26032,208
38007,19051,208
38010,3765,208
38009,1263,208
38003,44098,207
38005,36036,207
38006,26751,207
38004,1006,207
38002,49381,206
38000,22890,206
38001,1559,206
37998,44795,205
37995,44310,205
37996,28986,205
37999,11941,205
37993,5994,205
37994,2536,205
37997,2480,205
37991,22151,204
37990,20512,204
37992,3880,204
37989,49113,203
37987,48287,203
37983,39032,203
37985,37940,203
37986,33232,203
37988,32299,203
37984,32211,203
37980,44042,202
37981,43263,202
37982,6182,202
37979,5746,202
37978,4421,202
37977,36186,201
37976,3389,201
37975,1890,201
37969,41540,200
37966,40136,200
37961,38510,200
37973,37464,200
37967,26648,200
37968,25199,200
37962,25072,200
37964,18689,200
37974,13885,200
37971,13225,200
37972,12564,200
37970,12144,200
37963,7054,200
37965,6656,200
37956,49111,199
37952,37215,199
37959,25783,199
37960,25197,199
37955,19370,199
37958,18339,199
37954,15576,199
37957,11827,199
37953,10753,199
37947,33957,198
37951,31102,198
37948,26324,198
37950,26177,198
37949,5428,198
37945,43192,197
37944,30340,197
37946,20670,197
37941,47601,196
37937,46260,196
37936,39046,196
37943,34128,196
37938,27683,196
37942,15950,196
37939,5819,196
37940,4778,196
37932,45866,195
37933,40338,195
37929,32717,195
37931,31635,195
37934,27801,195
37926,25043,195
37935,24390,195
37930,24231,195
37927,17419,195
37928,11494,195
37924,49215,194
37923,45210,194
37916,41570,194
37917,35948,194
37925,32665,194
37920,27356,194
37922,24186,194
37919,13259,194
37915,5385,194
37914,3919,194
37918,3265,194
37921,162,194
37911,46709,193
37913,45965,193
37908,44303,193
37906,43643,193
37912,38444,193
37905,36431,193
37904,20549,193
37910,12087,193
37907,8006,193
37909,4317,193
37898,44487,192
37901,38419,192
37897,26629,192
37902,16882,192
37903,11710,192
37900,9554,192
37899,5250,192
37892,46817,191
37891,46346,191
37890,45190,191
37889,34335,191
37894,27544,191
37887,23594,191
37893,22247,191
37888,9203,191
37896,4853,191
37895,4595,191
37881,41177,190
37882,34487,190
37884,31231,190
37886,21841,190
37883,20113,190
37885,6193,190
37875,38562,189
37876,34993,189
37877,16168,189
37878,13212,189
37879,8590,189
37880,2732,189
37873,47087,188
37863,45445,188
37874,35652,188
37864,33438,188
37868,33081,188
37865,31268,188
37866,23032,188
37870,21783,188
37862,17789,188
37872,17630,188
37871,13866,188
37867,8803,188
37869,397,188
37858,45061,187
37855,41351,187
37857,41165,187
37860,40229,187
37852,40001,187
37861,38312,187
37859,37552,187
37856,28682,187
37854,8536,187
37853,6774,187
37846,49628,186
37851,44368,186
37845,41238,186
37849,33845,186
37843,30850,186
37848,25133,186
37850,24427,186
37847,24035,186
37844,9477,186
37835,49517,185
37841,44843,185
37839,32573,185
37836,26315,185
37840,14966,185
37842,10768,185
37838,10492,185
37837,4792,185
37827,48726,184
37828,48370,184
37833,35855,184
37832,35633,184
37826,32605,184
37830,25949,184
37825,22788,184
37834,21553,184
37831,8671,184
37829,812,184
37817,49139,183
37824,28413,183
37819,27999,183
37823,23644,183
37822,14874,183
37818,14814,183
37820,10106,183
37821,6343,183
37811,36651,182
37814,32784,182
37810,32331,182
37809,26346,182
37812,22031,182
37808,19511,182
37815,18534,182
37806,17027,182
37807,11286,182
37813,5114,182
37816,4347,182
37802,48109,181
37805,47388,181
37800,47280,181
37799,42633,181
37803,27663,181
37804,15984,181
37798,10199,181
37801,7521,181
37797,48183,180
37795,44085,180
37796,44014,180
37792,27288,180
37791,21162,180
37790,18618,180
37793,12419,180
37794,9210,180
37786,35507,179
37787,17207,179
37788,9595,179
37789,9534,179
37778,44580,178
37777,40261,178
37785,39560,178
37776,38300,178
37779,37317,178
37782,32553,178
37780,31640,178
37781,28918,178
37775,17183,178
37784,9000,178
37783,8012,178
37767,35510,177
37773,29993,177
37771,29077,177
37772,24631,177
37769,19895,177
37770,18670,177
37774,18610,177
37768,204,177
37760,47990,176
37765,45622,176
37752,45002,176
37757,40233,176
37763,38288,176
37762,33791,176
37761,26668,176
37759,24253,176
37766,24135,176
37754,23634,176
37755,23339,176
37756,23178,176
37764,18883,176
37753,6383,176
37758,3696,176
37748,47226,175
37744,33303,175
37747,32338,175
37741,27509,175
37751,25533,175
37746,25093,175
37745,23554,175
37742,18232,175
37749,17634,175
37750,11481,175
37743,130,175
37739,44949,174
37738,38662,174
37736,35121,174
37740,34565,174
37737,26634,174
37733,49416,173
37730,46069,173
37726,43858,173
37723,34034,173
37725,21513,173
37721,18721,173
37722,18389,173
37720,15592,173
37735,14875,173
37732,14159,173
37729,12320,173
37731,10312,173
37728,10255,173
37724,9434,173
37734,3318,173
37727,2979,173
37717,38371,172
37718,37276,172
37716,35167,172
37715,11281,172
37714,9598,172
37719,8744,172
37712,18394,171
37713,17334,171
37711,17044,171
37710,12395,171
37709,3856,171
37708,287,171
37702,49054,170
37701,45788,170
37703,43654,170
37700,32079,170
37707,23291,170
37698,15599,170
37705,8475,170
37699,7693,170
37704,5640,170
37706,4932,170
37697,79,170
37694,31883,169
37695,31618,169
37692,20015,169
37691,18078,169
37690,11688,169
37693,7631,169
37696,790,169
37678,49621,168
37685,46473,168
37677,39409,168
37689,38647,168
37683,36606,168
37682,35176,168
37688,34270,168
37684,34197,168
37686,27451,168
37680,22993,168
37687,21572,168
37681,15100,168
37679,5621,168
37667,48871,167
37666,47119,167
37671,43712,167
37668,40852,167
37669,40009,167
37674,39844,167
37675,32467,167
37670,32446,167
37676,29628,167
37672,27316,167
37673,20876,167
37659,48186,166
37660,43889,166
37658,42500,166
37661,41757,166
37657,39411,166
37663,36406,166
37665,35750,166
37664,35045,166
37655,25919,166
37662,7461,166
37656,7419,166
37650,48825,165
37652,37053,165
37653,30561,165
37651,26040,165
37654,22281,165
37646,45541,164
37645,45290,164
37648,44912,164
37643,37107,164
37649,34005,164
37640,31404,164
37647,24518,164
37642,18439,164
37641,6448,164
37644,5120,164
37636,45368,163
37633,45051,163
37632,30591,163
37635,23094,163
37634,13042,163
37638,10690,163
37637,7649,163
37639,6473,163
37625,47145,162
37630,45149,162
37628,44116,162
37626,39491,162
37624,36685,162
37627,27247,162
37629,23854,162
37623,16525,162
37631,14881,162
37618,47185,161
37617,39719,161
37619,39527,161
37620,25495,161
37615,23879,161
37622,18432,161
37616,16570,161
37614,15995,161
37621,210,161
37611,48220,160
37603,46505,160
37612,45578,160
37610,38266,160
37605,36164,160
37604,28769,160
37609,25804,160
37606,22451,160
37608,12899,160
37613,7179,160
37607,6341,160
37594,47717,159
37601,44475,159
37600,43693,159
37593,40992,159
37598,29418,159
37596,27662,159
37602,25706,159
37597,22922,159
37595,3631,159
37599,116,159
37584,46962,158
37585,44325,158
37587,29095,158
37588,27881,158
37592,18176,158
37586,12075,158
37590,10193,158
37591,4451,158
37589,277,158
37575,49279,157
37572,49026,157
37576,43692,157
37577,43136,157
37579,41131,157
37581,35217,157
37582,23763,157
37571,23102,157
37580,17568,157
37573,14211,157
37583,12508,157
37578,9411,157
37574,8580,157
37568,48004,156
37570,47865,156
37562,42193,156
37569,35321,156
37565,35132,156
37566,31893,156
37563,20327,156
37561,15842,156
37567,11250,156
37564,4428,156
37560,3308,156
37554,49273,155
37548,43568,155
37559,39055,155
37550,32052,155
37556,28058,155
37552,27903,155
37551,25630,155
37558,20169,155
37555,19820,155
37549,16020,155
37553,7361,155
37557,3800,155
37547,48142,154
37538,46138,154
37537,37919,154
37540,35842,154
37544,34658,154
37539,32684,154
37541,28931,154
37543,19821,154
37545,10960,154
37542,8638,154
37546,5794,154
37527,27531,153
37530,26842,153
37526,22275,153
37533,21560,153
37531,13032,153
37534,12914,153
37532,12756,153
37535,7952,153
37536,2099,153
37528,1181,153
37529,343,153
37523,28571,152
37521,24654,152
37520,15923,152
37522,12703,152
37518,7533,152
37519,3243,152
37525,2717,152
37524,605,152
37513,41198,151
37511,38827,151
37512,34449,151
37515,33527,151
37517,31342,151
37514,27471,151
37506,26298,151
37505,19366,151
37509,16757,151
37516,12212,151
37508,8953,151
37510,8390,151
37507,5699,151
37491,46562,150
37494,45437,150
37492,44201,150
37503,41806,150
37501,38622,150
37504,37496,150
37500,35986,150
37497,33614,150
37499,23025,150
37493,22362,150
37496,22298,150
37502,20383,150
37498,13914,150
37495,13031,150
37480,49481,149
37489,36205,149
37485,30252,149
37487,28990,149
37488,28647,149
37484,28226,149
37481,23423,149
37482,19376,149
37479,14491,149
37486,14335,149
37490,9047,149
37483,4565,149
37471,35749,148
37468,34160,148
37470,32141,148
37478,29871,148
37475,20608,148
37469,14764,148
37476,12218,148
37477,11266,148
37474,9955,148
37467,5825,148
37473,1313,148
37472,264,148
37459,44533,147
37461,35851,147
37453,32369,147
37454,31288,147
37452,27392,147
37465,26683,147
37460,25647,147
37463,21334,147
37464,21083,147
37462,18471,147
37456,14553,147
37466,13877,147
37457,9934,147
37455,7014,147
37458,6052,147
37445,35761,146
37444,29439,146
37447,28299,146
37446,26709,146
37451,22950,146
37443,19906,146
37442,7412,146
37448,5491,146
37449,3682,146
37450,141,146
37439,48230,145
37432,45679,145
37435,38730,145
37431,38563,145
37437,35886,145
37441,34824,145
37436,23803,145
37428,23630,145
37434,21050,145
37429,19311,145
37433,16848,145
37440,13640,145
37430,10998,145
37438,2344,145
37427,47402,144
37418,38453,144
37421,36994,144
37424,33819,144
37426,27454,144
37423,21847,144
37425,11109,144
37422,9558,144
37419,4658,144
37420,4357,144
37411,48246,143
37413,46526,143
37412,38775,143
37415,33037,143
37409,27429,143
37407,27241,143
37406,25691,143
37417,21526,143
37416,20127,143
37405,16920,143
37410,15269,143
37408,12919,143
37414,7388,143
37394,45698,142
37402,45537,142
37396,29363,142
37400,26312,142
37391,21410,142
37393,19446,142
37404,14996,142
37392,13755,142
37401,9597,142
37399,9290,142
37397,6300,142
37395,6274,142
37398,5764,142
37403,4671,142
37389,45946,141
37388,43928,141
37379,43209,141
37376,35946,141
37378,34287,141
37377,23265,141
37381,22227,141
37386,17553,141
37375,13245,141
37382,12962,141
37383,12069,141
37384,10108,141
37385,8195,141
37380,7185,141
37387,6101,141
37390,2537,141
37373,44750,140
37360,42139,140
37367,39160,140
37363,38988,140
37366,38313,140
37374,29270,140
37369,21461,140
37370,11046,140
37365,7010,140
37361,6846,140
37371,6297,140
37368,4889,140
37372,2748,140
37362,2519,140
37364,2447,140
37359,41774,139
37354,34582,139
37358,34497,139
37355,30668,139
37347,29311,139
37351,22620,139
37356,20682,139
37348,18838,139
37350,18761,139
37349,17858,139
37357,12013,139
37352,11361,139
37353,5603,139
37339,49198,138
37343,45664,138
37340,38192,138
37332,35973,138
37344,32293,138
